iter	Passed	Remaining
0	0	785
1	1	758
2	2	702
3	2	685
4	3	657
5	3	635
6	4	626
7	4	616
8	5	606
9	6	595
10	6	593
11	7	588
12	7	595
13	8	597
14	9	599
15	9	598
16	10	596
17	10	593
18	11	592
19	12	591
20	12	591
21	13	590
22	13	589
23	14	587
24	15	585
25	15	583
26	16	580
27	16	577
28	17	573
29	17	571
30	18	568
31	18	566
32	19	564
33	19	562
34	20	560
35	20	558
36	21	556
37	21	555
38	22	554
39	23	554
40	23	554
41	24	553
42	24	552
43	25	552
44	26	551
45	26	550
46	27	549
47	27	548
48	28	547
49	28	546
50	29	546
51	29	545
52	30	544
53	31	543
54	31	542
55	32	541
56	32	540
57	33	539
58	33	538
59	34	537
60	34	536
61	35	535
62	35	534
63	36	533
64	37	532
65	37	532
66	38	530
67	38	526
68	38	524
69	39	524
70	39	522
71	40	521
72	40	520
73	41	518
74	41	517
75	42	517
76	43	516
77	43	515
78	44	514
79	44	513
80	45	512
81	45	512
82	46	511
83	46	510
84	47	507
85	47	507
86	48	504
87	48	503
88	49	502
89	49	501
90	50	500
91	50	499
92	51	499
93	51	498
94	52	497
95	52	498
96	53	501
97	54	502
98	55	503
99	56	504
100	56	505
101	57	502
102	57	503
103	58	504
104	59	504
105	59	504
106	60	503
107	60	502
108	61	501
109	61	500
110	62	499
111	62	499
112	63	498
113	63	497
114	64	496
115	64	494
116	65	493
117	65	492
118	66	491
119	66	490
120	67	490
121	68	490
122	68	488
123	68	487
124	69	486
125	69	485
126	70	484
127	70	482
128	71	482
129	71	481
130	72	480
131	73	481
132	73	482
133	74	482
134	75	482
135	75	481
136	76	481
137	76	479
138	77	479
139	77	478
140	78	477
141	78	476
142	79	476
143	80	476
144	80	475
145	81	474
146	81	474
147	82	474
148	83	474
149	83	473
150	84	473
151	84	472
152	85	471
153	85	471
154	86	470
155	86	469
156	87	469
157	87	468
158	88	467
159	88	467
160	89	466
161	90	465
162	90	465
163	91	464
164	91	464
165	92	463
166	92	462
167	93	462
168	93	461
169	94	461
170	94	460
171	95	460
172	96	461
173	97	461
174	97	461
175	98	461
176	99	461
177	99	461
178	100	460
179	101	460
180	101	458
181	101	458
182	102	457
183	103	456
184	103	456
185	104	455
186	104	454
187	105	453
188	105	452
189	106	452
190	106	451
191	107	450
192	107	449
193	108	448
194	108	448
195	109	447
196	109	447
197	110	447
198	110	446
199	111	445
200	111	445
201	112	444
202	113	443
203	113	443
204	114	442
205	114	441
206	115	440
207	115	440
208	116	439
209	116	438
210	117	437
211	117	437
212	118	436
213	118	435
214	119	435
215	119	434
216	120	433
217	120	433
218	121	432
219	121	431
220	122	431
221	122	430
222	123	429
223	123	428
224	124	428
225	124	428
226	125	427
227	126	426
228	126	426
229	127	425
230	127	425
231	128	425
232	128	424
233	129	424
234	130	423
235	130	422
236	131	422
237	131	421
238	132	420
239	132	419
240	133	419
241	133	418
242	134	417
243	134	416
244	135	416
